customer_unique_id,product_category_name_english,order_count
12f5d6e1cbf93dafd9dcc19095df0b3d,furniture_bedroom,3
12f5d6e1cbf93dafd9dcc19095df0b3d,fashion_bags_accessories,2
12f5d6e1cbf93dafd9dcc19095df0b3d,pet_shop,1
1b6c7548a2a1f9037c1fd3ddfed95f33,furniture_decor,3
1b6c7548a2a1f9037c1fd3ddfed95f33,stationery,1
1b6c7548a2a1f9037c1fd3ddfed95f33,health_beauty,1
1b6c7548a2a1f9037c1fd3ddfed95f33,housewares,1
1b6c7548a2a1f9037c1fd3ddfed95f33,perfumery,1
3e43e6105506432c953e165fb2acf44c,bed_bath_table,4
3e43e6105506432c953e165fb2acf44c,furniture_decor,3
3e43e6105506432c953e165fb2acf44c,computers_accessories,1
3e43e6105506432c953e165fb2acf44c,home_construction,1
3e43e6105506432c953e165fb2acf44c,housewares,1
47c1a3033b8b77b3ab6e109eb4d5fdf3,auto,2
47c1a3033b8b77b3ab6e109eb4d5fdf3,health_beauty,1
47c1a3033b8b77b3ab6e109eb4d5fdf3,bed_bath_table,1
47c1a3033b8b77b3ab6e109eb4d5fdf3,cool_stuff,1
47c1a3033b8b77b3ab6e109eb4d5fdf3,tablets_printing_image,1
63cfc61cee11cbe306bff5857d00bfe4,furniture_living_room,2
63cfc61cee11cbe306bff5857d00bfe4,construction_tools_construction,1
63cfc61cee11cbe306bff5857d00bfe4,furniture_decor,1
63cfc61cee11cbe306bff5857d00bfe4,bed_bath_table,1
63cfc61cee11cbe306bff5857d00bfe4,null,1
6469f99c1f9dfae7733b25662e7f1782,bed_bath_table,7
8d50f5eadf50201ccdcedfb9e2ac8455,sports_leisure,11
8d50f5eadf50201ccdcedfb9e2ac8455,fashion_bags_accessories,3
8d50f5eadf50201ccdcedfb9e2ac8455,costruction_tools_tools,1
8d50f5eadf50201ccdcedfb9e2ac8455,null,1
ca77025e7201e3b30c44b472ff346268,cool_stuff,2
ca77025e7201e3b30c44b472ff346268,furniture_decor,2
ca77025e7201e3b30c44b472ff346268,housewares,2
ca77025e7201e3b30c44b472ff346268,bed_bath_table,1
dc813062e0fc23409cd255f7f53c7074,toys,4
dc813062e0fc23409cd255f7f53c7074,cool_stuff,1
dc813062e0fc23409cd255f7f53c7074,watches_gifts,1
f0e310a6839dce9de1638e0fe5ab282a,bed_bath_table,3
f0e310a6839dce9de1638e0fe5ab282a,housewares,2
f0e310a6839dce9de1638e0fe5ab282a,null,1
