product_category_name_english,seller_id,total_revenue
agro_industry_and_commerce,e59aa562b9f8076dd550fcddf0e73491,31574.30
agro_industry_and_commerce,6bd69102ab48df500790a8cecfc285c2,8070.00
agro_industry_and_commerce,f08a5b9dd6767129688d001acafc21e5,7535.54
agro_industry_and_commerce,2528744c5ef5d955adc318720a94d2e7,6245.00
agro_industry_and_commerce,31ae0774c17fabd06ff707cc5bde005f,5169.89
air_conditioning,7901646fdd36a55f564ffaf2dbccaaf7,8900.08
air_conditioning,6a51fc556dab5f766ced6fbc860bc613,6046.27
air_conditioning,fcdd820084f17e9982427971e4e9d47f,4640.00
air_conditioning,7a241947449cc45dbfda4f9d0798d9d0,4014.98
air_conditioning,f3b80352b986ab4d1057a4b724be19d0,3320.00
art,c31eff8334d6b3047ed34bebd4d62c36,10803.72
art,ee27a8f15b1dded4d213a468ba4eb391,6499.00
art,955fee9216a65b617aa5c0531780ce60,914.00
art,b561927807645834b59ef0d16ba55a24,676.20
art,0d85bbda9889ce1f7e63778d24f346eb,499.50
arts_and_craftmanship,55f7a3319d80f7fdf078b8f03e6725fe,657.94
arts_and_craftmanship,04ee0ec01589969663ba5967c0e0bdc0,289.49
arts_and_craftmanship,05730013efda596306417c3b09302475,238.00
arts_and_craftmanship,0ddefe3c7a032b91f4e25b9c3a08fca1,229.50
arts_and_craftmanship,e7f3bf1ecd8526eb7f3b18059e6716e5,129.90
audio,7d13fca15225358621be4086e1eb0964,18561.65
audio,4869f7a5dfa277a7dca6462dcf3b52b2,9031.30
audio,b33e7c55446eabf8fe1a42d037ac7d6d,5677.94
audio,b2ba3715d723d245138f291a6fe42594,3707.70
audio,6560211a19b47992c3666cc44a7e94c0,2716.00
auto,8581055ce74af1daba164fdbd55a40de,64925.30
auto,712e6ed8aa4aa1fa65dab41fed5737e4,39815.00
auto,7142540dd4c91e2237acb7e911c4eba2,28187.28
auto,b1b3948701c5c72445495bd161b83a4c,24699.19
auto,40db9e9aa57f7bb151bcda6b0f9bdbb7,23168.00
baby,5dceca129747e92ff8ef7a997dc4f8ca,74509.92
baby,855668e0971d4dfd7bef1b6a4133b41b,26860.28
baby,ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,21341.80
baby,4b9750c8ad28220fe6702d4ecb7c898f,15348.50
baby,1f9ab4708f3056ede07124aad39a2554,13602.73
bed_bath_table,4a3ca9315b744ce9f8e9374361493884,165219.25
bed_bath_table,da8622b14eb17ae2831f4ac5b9dab84a,152307.80
bed_bath_table,37be5a7c751166fbc5f8ccba4119e043,54552.57
bed_bath_table,8160255418d5aaa7dbdc9f4c64ebda44,46282.60
bed_bath_table,1835b56ce799e6a4dc4eddc053f04066,33059.26
books_general_interest,527801b552d0077ffd170872eb49683b,17591.40
books_general_interest,669ae81880e08f269a64487cfb287169,6654.99
books_general_interest,83e197e95a1bbabc8c75e883ed016c47,6394.09
books_general_interest,f0b47fbbc6dee9aafe415a6e33051b3f,2202.43
books_general_interest,4dbd95a08b31ede5c82d3f861cb1ce1a,1238.77
books_imported,bc2ac6b95e1accce9858528ee566c17e,2045.00
books_imported,7c5b05cbdb5542049f38d90d7815b97d,1038.96
books_imported,9b1585752613ec342d03bbab9997ec48,749.00
books_imported,1bb2bdb95f4841f1bba2c0d2cd83d3c9,588.90
books_imported,5f0057b677eb963672bf05dfa3f16c34,99.00
books_imported,272f092de69afedd4d2969440b37f18f,99.00
books_technical,ba143b05f0110f0dc71ad71b4466ce92,5499.65
books_technical,1bb2bdb95f4841f1bba2c0d2cd83d3c9,2582.21
books_technical,0ffa40d54288e4f3499b8780dd0f144f,2015.80
books_technical,72bc2cce903c872fe376a8faaa81d237,1861.90
books_technical,4ba52dfeba874da5b9ee7b17c7494f04,1463.00
cds_dvds_musicals,4e922959ae960d389249c378d1c939f5,730.00
christmas_supplies,d93919c944be9cff128f6c9cb899eacb,2496.80
christmas_supplies,0d85bbda9889ce1f7e63778d24f346eb,2110.80
christmas_supplies,b9a03475e6447e631b6799ec8274800f,1179.20
christmas_supplies,113e3a788b935f48aad63e1c41dac1bd,847.35
christmas_supplies,4e326052e5dbba8adcd512f3450a307e,570.00
cine_photo,ce69a8021d18961dd2a40269b7c2c293,1767.97
cine_photo,da7039f29f90ce5b4846ffc0fcc93beb,1259.10
cine_photo,8d956fec2e4337affcb520f56fd8cbfd,1105.60
cine_photo,ffa6adafb71b807dc13159e26431354c,745.00
cine_photo,77e4abfd739aed9c46480f90f81c0eb4,598.00
computers,53243585a1d6dc2643021fd1853d8905,166871.75
computers,7681ef142fd2c19048da7430856b5588,28198.92
computers,a00824eb9093d40e589b940ec45c4eb0,9399.97
computers,80ceebb4ee9b31afb6c6a916a574a1e2,6729.00
computers,c72de06d72748d1a0dfb2125be43ba63,4590.00
computers_accessories,25c5c91f63607446a97b143d2d535d31,53257.52
computers_accessories,de722cd6dad950a92b7d4f82673f8833,52197.80
computers_accessories,a1043bafd471dff536d0c462352beb48,47214.51
computers_accessories,9c0e69c7bf2619675bbadf47b43f655a,33234.07
computers_accessories,88460e8ebdecbfecb5f9601833981930,31546.55
consoles_games,522620dcb18a6b31cd7bdf73665113a9,36329.79
consoles_games,7299e27ed73d2ad986de7f7c77d919fa,13398.21
consoles_games,66e0557ecc2b4dbea057e93f215f68d8,12480.00
consoles_games,7ddcbb64b5bc1ef36ca8c151f6ec77df,9354.91
consoles_games,16090f2ca825584b5a147ab24aa30c86,8075.99
construction_tools_construction,b839e41795b7f3ad94cc2014a52f6796,25901.00
construction_tools_construction,0b35c634521043bf4b47e21547b99ab5,13533.65
construction_tools_construction,59b22a78efb79a4797979612b885db36,11851.00
construction_tools_construction,72c5da29406b4234927b81855e7b64f6,10219.76
construction_tools_construction,e0a366315b1b726b6c7832d664c0f530,6039.80
construction_tools_lights,1025f0e2d44d7041d6cf58b6550e0bfa,16685.60
construction_tools_lights,d6b1ce66b035a475f00c017792ff9769,9213.95
construction_tools_lights,955fee9216a65b617aa5c0531780ce60,2328.93
construction_tools_lights,70eea00b476a314817cefde4aad4f89a,1290.00
construction_tools_lights,34f563c82a85b99ae9e6d60db5fc2e28,1188.90
construction_tools_safety,4a3ccda38b2129705f3fb522db62ca31,13954.85
construction_tools_safety,06e5eefc71ec47ae763c5c6f8db7064f,8857.48
construction_tools_safety,fbc14c0cf93505ef89f64665ffa4a7b5,3310.97
construction_tools_safety,48162d548f5b1b11b9d29d1e01f75a61,2610.00
construction_tools_safety,cfe94489ddd337d1e29e12f2a7205d10,2376.00
cool_stuff,7a67c85e85bb2ce8582c35f2203ad736,135413.55
cool_stuff,ceaec5548eefc6e23e6607c5435102e7,43533.23
cool_stuff,834f3294fba9f932f56edc879193f925,39158.50
