seller_id,avg_review_score,total_reviews
0b36063d5818f81ccb94b54adfaebbf5,5.00,15
ab27bbbad5239bc31a34709275a70db4,5.00,11
0570350b23eda5444f8d1d9544932058,5.00,11
2addf05f476d0637864454e93ba673d5,5.00,12
404e1ba01358af4cd63f679b2c4d1fa1,5.00,12
c8c1bea22194a4eefa2dc9a9fa89f536,5.00,13
b2eecf5ea250510da76590ca79d60e5d,5.00,11
a08692680c77d30a0b4280da5df01c5a,5.00,17
48efc9d94a9834137efd9ea76b065a38,5.00,34
53b0300ca793f9834cd69c0678d35ee8,5.00,10
334cab711dee080b079fa5779b584783,4.96,26
41c2bad7229b0c25e6becf179ebf63ff,4.96,23
b1fecf4da1fa2689bccffa0121953643,4.95,20
9d681c7e12db302cb261e721040dde65,4.93,14
2d518637f53161b973e01f56ea4bb88e,4.92,13
d4910f1cdcfdabd48d6b316e395d4a23,4.92,12
788e857f317e53de488d393e65a80f45,4.91,11
2f4b0d3b9634b647d4edee577d7ebb7e,4.91,11
5c030029b5916fed0986310385ec9009,4.90,10
5b2e94f2c22b39ccc24d34ad0f669672,4.90,10
